"Subject"	"Activity"	"MeanSamples"
"1"	1	"LAYING"	-0.446078982032545
"2"	1	"SITTING"	-0.494288663682155
"3"	1	"STANDING"	-0.496970636426644
"4"	1	"WALKING"	-0.140460897303861
"5"	1	"WALKING_DOWNSTAIRS"	-0.0810205208230563
"6"	1	"WALKING_UPSTAIRS"	-0.259695349380187
"7"	2	"LAYING"	-0.474893405747534
"8"	2	"SITTING"	-0.507896046493619
"9"	2	"STANDING"	-0.497014525589591
"10"	2	"WALKING"	-0.2325366679997
"11"	2	"WALKING_DOWNSTAIRS"	-0.0527144120242089
"12"	2	"WALKING_UPSTAIRS"	-0.198789470736483
"13"	3	"LAYING"	-0.479501405696234
"14"	3	"SITTING"	-0.496596198152301
"15"	3	"STANDING"	-0.50538670364766
"16"	3	"WALKING"	-0.240669362867115
"17"	3	"WALKING_DOWNSTAIRS"	-0.159546886357986
"18"	3	"WALKING_UPSTAIRS"	-0.281746863440972
"19"	4	"LAYING"	-0.480866547164589
"20"	4	"SITTING"	-0.509630885062877
"21"	4	"STANDING"	-0.494369349277242
"22"	4	"WALKING"	-0.299814619626851
"23"	4	"WALKING_DOWNSTAIRS"	-0.187583406028718
"24"	4	"WALKING_UPSTAIRS"	-0.275513102921201
"25"	5	"LAYING"	-0.476374232800732
"26"	5	"SITTING"	-0.505339562277329
"27"	5	"STANDING"	-0.488812762107683
"28"	5	"WALKING"	-0.229681244780184
"29"	5	"WALKING_DOWNSTAIRS"	-0.099229417343762
"30"	5	"WALKING_UPSTAIRS"	-0.19434102752202
"31"	6	"LAYING"	-0.463409900025523
"32"	6	"SITTING"	-0.499929174819716
"33"	6	"STANDING"	-0.499342943213487
"34"	6	"WALKING"	-0.169484475725169
"35"	6	"WALKING_DOWNSTAIRS"	0.0268242707328285
"36"	6	"WALKING_UPSTAIRS"	-0.149233721551697
"37"	7	"LAYING"	-0.494649165470554
"38"	7	"SITTING"	-0.510236797162105
"39"	7	"STANDING"	-0.512119241156814
"40"	7	"WALKING"	-0.13348848956284
"41"	7	"WALKING_DOWNSTAIRS"	-0.108311821140604
"42"	7	"WALKING_UPSTAIRS"	-0.288081316943586
"43"	8	"LAYING"	-0.477168337749991
"44"	8	"SITTING"	-0.50985088295483
"45"	8	"STANDING"	-0.499738344247601
"46"	8	"WALKING"	-0.126533411138143
"47"	8	"WALKING_DOWNSTAIRS"	0.0310145687055051
"48"	8	"WALKING_UPSTAIRS"	-0.1116443328382
"49"	9	"LAYING"	-0.500552757192312
"50"	9	"SITTING"	-0.517334177100726
"51"	9	"STANDING"	-0.507617586619006
"52"	9	"WALKING"	-0.223881577064852
"53"	9	"WALKING_DOWNSTAIRS"	-0.11635422406114
"54"	9	"WALKING_UPSTAIRS"	-0.287650222459508
"55"	10	"LAYING"	-0.469541509063377
"56"	10	"SITTING"	-0.501824696724113
"57"	10	"STANDING"	-0.498154058926714
"58"	10	"WALKING"	-0.157780713845494
"59"	10	"WALKING_DOWNSTAIRS"	-0.0573492679801966
"60"	10	"WALKING_UPSTAIRS"	-0.171549691997531
"61"	11	"LAYING"	-0.477252838160002
"62"	11	"SITTING"	-0.507747691187619
"63"	11	"STANDING"	-0.49928922489405
"64"	11	"WALKING"	-0.301505920163464
"65"	11	"WALKING_DOWNSTAIRS"	-0.16572585445044
"66"	11	"WALKING_UPSTAIRS"	-0.312515217162629
"67"	12	"LAYING"	-0.480207063050874
"68"	12	"SITTING"	-0.51589904222378
"69"	12	"STANDING"	-0.498009229467515
"70"	12	"WALKING"	-0.190212171314186
"71"	12	"WALKING_DOWNSTAIRS"	-0.109732576762979
"72"	12	"WALKING_UPSTAIRS"	-0.277172283613979
"73"	13	"LAYING"	-0.484281279164262
"74"	13	"SITTING"	-0.506806240272741
"75"	13	"STANDING"	-0.506686963039875
"76"	13	"WALKING"	-0.148806479808594
"77"	13	"WALKING_DOWNSTAIRS"	-0.110012087535512
"78"	13	"WALKING_UPSTAIRS"	-0.265047701516267
"79"	14	"LAYING"	-0.491062100079076
"80"	14	"SITTING"	-0.527410365957105
"81"	14	"STANDING"	-0.517679647572517
"82"	14	"WALKING"	-0.23147493547463
"83"	14	"WALKING_DOWNSTAIRS"	0.0192704130128276
"84"	14	"WALKING_UPSTAIRS"	-0.105614956175986
"85"	15	"LAYING"	-0.487589087732256
"86"	15	"SITTING"	-0.507561657038159
"87"	15	"STANDING"	-0.503412916743538
"88"	15	"WALKING"	-0.248134509734375
"89"	15	"WALKING_DOWNSTAIRS"	-0.0773103920394554
"90"	15	"WALKING_UPSTAIRS"	-0.243842899342148
"91"	16	"LAYING"	-0.500055725939776
"92"	16	"SITTING"	-0.503029761778761
"93"	16	"STANDING"	-0.505294540570825
"94"	16	"WALKING"	-0.301656310267857
"95"	16	"WALKING_DOWNSTAIRS"	-0.155837358855791
"96"	16	"WALKING_UPSTAIRS"	-0.310517206007239
"97"	17	"LAYING"	-0.481881730919622
"98"	17	"SITTING"	-0.507971943130528
